x,y,u,v,w
0.05,1.0,-7.971526292173706e-06,-1.3206905361401775e-06,-8.912477344259324e-07
0.05,1.0102311557788946,0.05413201296407243,0.0005591843120963571,-0.004235642023144517
0.05,1.0204623115577889,0.23371840309571484,0.002613559956669374,-0.008626472971765773
0.05,1.0306934673366834,0.4081242267961143,0.008592566451142187,-0.010327331943748368
0.05,1.0409246231155778,0.5469298249358785,0.017745309166563708,-0.01142295679245442
0.05,1.0511557788944723,0.6503949841435434,0.02808570577341146,-0.01339633470774039
0.05,1.0613869346733669,0.7199329854361779,0.03729183394651292,-0.015903675528934628
0.05,1.0716180904522612,0.7630778050782383,0.04444507677275187,-0.01811888296815059
0.05,1.0818492462311557,0.7891960202035143,0.049839001941253604,-0.019529084893243055
0.05,1.0920804020100503,0.8051997988459505,0.05395685075563332,-0.020190915515815738
0.05,1.1023115577889446,0.8150214274403774,0.05710960453899799,-0.020404312058475958
0.05,1.1125427135678392,0.8210613480756138,0.059538832035309935,-0.020526532724832285
0.05,1.1227738693467337,0.8246945754687024,0.06141780416135857,-0.02081672485470065
0.05,1.133005025125628,0.8267683599459534,0.06286301117048299,-0.021407865094588807
0.05,1.1432361809045226,0.8279699213832609,0.06398512014880024,-0.02222071671631787
0.05,1.153467336683417,0.8287156876574494,0.06485435967593117,-0.023042220196931567
0.05,1.1636984924623115,0.8292802914095722,0.06553404402040208,-0.023673209337973122
0.05,1.173929648241206,0.8298198853423374,0.06606573227361684,-0.024058066828307686
0.05,1.1841608040201004,0.8303928998617092,0.06647047557884592,-0.024298049289999443
0.05,1.194391959798995,0.8310314646291681,0.06677180789418258,-0.024504290926400673
0.05,1.2046231155778893,0.831737910569021,0.0669883812399082,-0.024758577299049102
0.05,1.2148542713567838,0.8324747251107305,0.06713135896623565,-0.025079577940827574
0.05,1.2250854271356784,0.833208674288153,0.06720907149640497,-0.025451120549486422
0.05,1.2353165829145727,0.8339170572943514,0.06723120950606847,-0.025838767119374263
0.05,1.2455477386934672,0.8346003756459501,0.06721031864075173,-0.026205619198603727
0.05,1.2557788944723618,0.8352686323655459,0.06716157321659152,-0.02651366378260762
0.05,1.2660100502512561,0.8359326572186481,0.06710008191476736,-0.026727491709310207
0.05,1.2762412060301507,0.8365886513325712,0.06703712284584318,-0.02681948297458613
0.05,1.2864723618090452,0.8372228972332842,0.06698362652716573,-0.02677713015005573
0.05,1.2967035175879396,0.8378174092336059,0.06694836222689032,-0.026606796629351184
0.05,1.306934673366834,0.8383548399898424,0.06693468749809656,-0.026340943906159715
0.05,1.3171658291457287,0.8388254413947621,0.0669417764913621,-0.026026224026358732
0.05,1.327396984924623,0.8392302428874725,0.06696570706189209,-0.0257093132683978
0.05,1.3376281407035173,0.8395858032584613,0.06700134616415257,-0.025423731270136404
0.05,1.3478592964824119,0.8399240607605192,0.06704664861051784,-0.025185917314397722
0.05,1.3580904522613064,0.840284132621664,0.06710105900133921,-0.02499739830902024
0.05,1.3683216080402008,0.8407060468664934,0.06716454344399084,-0.02484846157079992
0.05,1.3785527638190953,0.8412247333426992,0.06723640613124253,-0.024723009162192205
0.05,1.3887839195979899,0.841864521781853,0.06731315513096742,-0.024602691572744178
0.05,1.3990150753768842,0.8426344428647516,0.06738906530445862,-0.02447139572497366
0.05,1.4092462311557787,0.8435276707238003,0.0674571624169511,-0.024314401298570244
0.05,1.4194773869346733,0.8445207029017837,0.06751220394010894,-0.0241192630303088
0.05,1.4297085427135676,0.8455743053939542,0.0675535287959013,-0.023864745924636693
0.05,1.4399396984924622,0.8466411766896906,0.0675848024573861,-0.023529036013411633
0.05,1.4501708542713567,0.8476662171540967,0.06761059931383018,-0.023089616972221685
