x,y,u,v,w
0.05,1.0,5.8661076188137525e-05,1.8144999847061814e-06,9.085569045784954e-14
0.05,1.0102311557788946,0.42921147384571096,-0.0013788882880271611,7.040622262403951e-11
0.05,1.0204623115577889,0.5976956541861006,-7.20817513030532e-05,1.0332627583862009e-10
0.05,1.0306934673366834,0.6604788980199403,0.0023913946292734903,1.1314968106273178e-10
0.05,1.0409246231155778,0.6934343611387548,0.004747298605662899,1.1625273908912709e-10
0.05,1.0511557788944723,0.7149114070095284,0.006852448604686478,1.167153270727741e-10
0.05,1.0613869346733669,0.7309248506504148,0.008751628282037282,1.1602632985515372e-10
0.05,1.0716180904522612,0.7439395809856932,0.0104967179538492,1.1468649695260697e-10
0.05,1.0818492462311557,0.7551370112365434,0.012123443430899158,1.1304858908867525e-10
0.05,1.0920804020100503,0.7651461994074905,0.013655994936717462,1.1119048178753115e-10
0.05,1.1023115577889446,0.7743234293626456,0.015110684302604786,1.0918213857537216e-10
0.05,1.1125427135678392,0.7829081475871328,0.016495545025694947,1.0704876992756087e-10
0.05,1.1227738693467337,0.7910453057689744,0.017816974079758463,1.048169467447437e-10
0.05,1.133005025125628,0.7988217188416,0.019080861830467873,1.0259704897143909e-10
0.05,1.1432361809045226,0.8063187373977749,0.020288702712398896,1.0044404590690469e-10
0.05,1.153467336683417,0.8135857376198959,0.02144318870649218,9.820404475200298e-11
0.05,1.1636984924623115,0.8206604570744148,0.022546368945518088,9.585528077422405e-11
0.05,1.173929648241206,0.8275725872863589,0.023598683204240536,9.364935139569507e-11
0.05,1.1841608040201004,0.834344918155816,0.024599349177589262,9.142296236561078e-11
0.05,1.194391959798995,0.8409966812658312,0.025549468360918117,8.9066186654031e-11
0.05,1.2046231155778893,0.847542544433977,0.026451096722997565,8.695854810056088e-11
0.05,1.2148542713567838,0.8539934646711584,0.02730727168619838,8.465935440802791e-11
0.05,1.2250854271356784,0.8603588169330634,0.028119053538269073,8.241169080297243e-11
0.05,1.2353165829145727,0.8666469254339013,0.02888701727832038,8.03339468746811e-11
0.05,1.2455477386934672,0.8728644596045967,0.029612351806749097,7.807636073581201e-11
0.05,1.2557788944723618,0.8790167488339626,0.030296473097981634,7.593316229321818e-11
0.05,1.2660100502512561,0.8851084179789158,0.03094071243114633,7.390509209133729e-11
0.05,1.2762412060301507,0.8911433590271384,0.03154633248119626,7.174075902784865e-11
0.05,1.2864723618090452,0.8971246525274892,0.03211478134601766,6.967994938900607e-11
