x,y,u,v,w
0.05,1.0,-5.745691007558772e-06,-1.337948472388647e-06,1.0720026555536888e-06
0.05,1.0102311557788946,0.0628515066521468,-0.00018360147326457532,0.0039013661689085146
0.05,1.0204623115577889,0.258562901075763,0.0009557605404475144,0.007329195995378492
0.05,1.0306934673366834,0.4388357267288815,0.006604822592277695,0.009862727319578995
0.05,1.0409246231155778,0.5797432493515762,0.016079873218015246,0.012550076337725685
0.05,1.0511557788944723,0.6824814630560361,0.026885590647452686,0.01551523335944614
0.05,1.0613869346733669,0.7520882047175034,0.03676099115355089,0.018301232837106107
0.05,1.0716180904522612,0.7974794009319379,0.044800740711804905,0.021337125004975796
0.05,1.0818492462311557,0.8269373804029329,0.05101739120205509,0.024823736138168802
0.05,1.0920804020100503,0.8465564600872999,0.055811306782342904,0.028496635179831604
0.05,1.1023115577889446,0.8600291547986197,0.05954689415094976,0.03205623020619505
0.05,1.1125427135678392,0.8696012303807279,0.06249229481700881,0.0352466830543037
0.05,1.1227738693467337,0.8764455013561847,0.06480868816604243,0.037934268216536615
0.05,1.133005025125628,0.8812133194361018,0.06658756951017282,0.04008752908941872
0.05,1.1432361809045226,0.8845236832494214,0.06794801956275547,0.041819549441548934
0.05,1.153467336683417,0.8867679469265587,0.06898903832782778,0.04324951884414619
0.05,1.1636984924623115,0.8882190745591526,0.0697959217762254,0.044510745845572054
0.05,1.173929648241206,0.8890436342023175,0.07042485870103479,0.04571227005257547
0.05,1.1841608040201004,0.8893318130855149,0.07090501856740997,0.04691800867289285
0.05,1.194391959798995,0.8891790115221004,0.07126492809319356,0.04812806774542824
0.05,1.2046231155778893,0.8886693317176549,0.07153341340861666,0.049310682239071896
0.05,1.2148542713567838,0.8878767596928865,0.07173958368005023,0.05041361389610828
0.05,1.2250854271356784,0.8868575024098114,0.07191110321172398,0.051393544655303706
0.05,1.2353165829145727,0.8856571661331799,0.07207429118535283,0.05221657168111473
0.05,1.2455477386934672,0.8843129425507547,0.07224988158650494,0.05286059519614523
0.05,1.2557788944723618,0.8828582507585813,0.07245382520502412,0.053305184335907536
0.05,1.2660100502512561,0.8813290873285432,0.07269552601269638,0.05353724889237834
0.05,1.2762412060301507,0.8797736766491977,0.07297620710908923,0.0535694193972961
0.05,1.2864723618090452,0.8782510996908397,0.0732931231474532,0.053433411599090055
0.05,1.2967035175879396,0.8768208882719186,0.07363979841946751,0.05316569457929999
0.05,1.306934673366834,0.8755304344488155,0.07400399817692566,0.052784083061072164
0.05,1.3171658291457287,0.87440510115749,0.07437220673613308,0.052283049413436644
0.05,1.327396984924623,0.8734551262979792,0.0747314732644908,0.051643300213342826
0.05,1.3376281407035173,0.8726854811474188,0.07507149947566241,0.05084031879043835
0.05,1.3478592964824119,0.8721062253443733,0.07538547596241742,0.04984637984057055
0.05,1.3580904522613064,0.8717165690196104,0.07566771134044441,0.048631518203819196
0.05,1.3683216080402008,0.871495723231776,0.07591039423300373,0.047164291490867226
